w_lgbm,w_rf,roc_auc,pr_auc
0.0,1.0,0.8952671053618066,0.5133789913960672
0.05,0.95,0.9091106071642535,0.5293483200078308
0.1,0.9,0.9135311877302925,0.5344653357069425
0.15000000000000002,0.85,0.9148865507405474,0.5365723726814868
0.2,0.8,0.9149946150137187,0.5371651352401086
0.25,0.75,0.9145389099478147,0.536948319620285
0.30000000000000004,0.7,0.9138290877300863,0.5362888112333146
0.35000000000000003,0.6499999999999999,0.9129862730653703,0.5353481931438119
0.4,0.6,0.912098674078675,0.5342522395585746
0.45,0.55,0.9112006050113595,0.5330471478697323
0.5,0.5,0.9103187163524337,0.5317675450520148
0.55,0.44999999999999996,0.909463183793179,0.5304540549366336
0.6000000000000001,0.3999999999999999,0.9086344255315344,0.5291528632644931
0.65,0.35,0.9078303285673901,0.5278573094761182
0.7000000000000001,0.29999999999999993,0.9070610397033546,0.5265365353302861
0.75,0.25,0.9063198581428573,0.5251046275715213
0.8,0.19999999999999996,0.9056108393053787,0.523591982705974
0.8500000000000001,0.1499999999999999,0.904925682512104,0.5218792850040517
0.9,0.09999999999999998,0.9042641979231795,0.5199137874294227
0.9500000000000001,0.04999999999999993,0.9036218816568617,0.5175826699793633
1.0,0.0,0.9029877904085478,0.5125224545769282
