feature,importance
num__TransactionAmt,0.030446518067692677
num__TransactionDT,0.029183296518216512
num__card1,0.02503694373145544
num__C13,0.024041740928104727
num__card2,0.02186326452371188
num__C14,0.021143868216429103
num__addr1,0.018655125303109057
num__V257,0.013524987795333334
cat__P_emaildomain,0.013092179255244592
num__C1,0.012927405354283302
num__D15,0.012142782684864765
num__C5,0.011921201597586101
num__card5,0.01179273213365544
num__V70,0.011375486219343416
num__V308,0.011209601510981939
num__D2,0.010995498406762816
num__D1,0.01063927207625566
num__C2,0.010516376387036494
num__dist1,0.009826309754554648
num__D4,0.009601840868054138
cat__card6,0.009544451182404066
num__D10,0.00924334874982011
num__D3,0.009199079556925371
num__V317,0.009161561211895784
num__C10,0.008953425849356688
num__C11,0.008856578679923812
num__V218,0.008670792394828056
num__V283,0.008570661924220107
num__V69,0.008452800820824639
num__V30,0.008296332265936733
num__V307,0.00827050642848226
num__C6,0.00810799568408775
num__V294,0.007797929402337707
num__V91,0.007763609636114546
num__D11,0.00774831391757986
num__id_02,0.007274386124267619
num__V258,0.006888516203639989
num__V310,0.006850078856699809
num__D5,0.006662776516342294
cat__M4,0.006598761194282435
num__V295,0.006267014858456699
num__V90,0.006243626453230778
num__C8,0.006139916375942534
num__V133,0.006107371764432986
num__V318,0.006071647171218267
num__V265,0.005733056237005706
cat__card4,0.005731220602642351
num__C4,0.0057289702459829075
num__V127,0.005655813376420836
num__V312,0.005617341451338121
